Variable;Tipo;Descripción
Precio;Numérica;Precio de venta públicado en dólares.
TOTAL_AREA;Numérica;Área total de la vivienda.
ROOMS;Numérica;Cantidad de habitaciones.
FULL_BATHROOMS;Numérica;Cantidad de baños
PARKING_LOTS;Numérica;Cantidad de estacionamientos.
HAS_INTERNET_ACCESS;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_TAP_WATER;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_AIR_CONDITIONING;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_BALCONY;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_BOILER;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_HEATING;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_INDOOR_FIREPLACE;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_CISTERN;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_KITCHEN;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_DINNING_ROOM;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_MAID_ROOM;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_BREAKFAST_BAR;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_BEDROOM_SUITE;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_STUDY;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_NATURAL_GAS;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_JACUZZI;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_GARDEN;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_LAUNDRY;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
HAS_TELEPHONE_LINE;Binaria;Presencia de la amenidad (1) o ausencia de la misma(0)
